Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,PerformanceRating,JobSatisfaction,PromotionGapRiskScore,PromotionGapRiskLevel,RetentionOpportunityScore,RetentionOpportunityLevel,RecommendedAction,Attrition
Research & Development,Laboratory Technician,1,1,1,0,0,4,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,8,7,0,7,2,4,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,3,1,4,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,1,1,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,7,7,6,4,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,13,9,4,9,3,4,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,1,3,2,3,3,2,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,1,0,0,0,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,5,2,4,2,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,10,8,0,8,5,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,1,0,0,4,4,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,0,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,14,8,3,11,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,1,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,4,0,2,4,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Manager,5,7,7,4,7,6,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,1,3,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,5,3,4,0,Low,0,Low,No Immediate Action,1
Sales,Manager,4,26,15,15,9,2,4,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,0,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,5,4,1,4,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,4,3,0,3,3,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,0,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,2,2,2,2,3,4,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,6,5,3,3,2,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,4,2,0,3,2,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,1,7,2,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,10,7,0,1,3,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,7,1,7,4,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,7,8,9,4,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,20,11,13,17,3,4,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,2,1,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,6,3,1,4,3,3,4,1,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,4,3,0,3,3,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,11,7,1,9,3,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,2,4,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,8,7,0,7,2,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,7,7,7,7,2,4,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,14,10,4,10,5,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,1,1,3,2,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,1,1,4,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,11,9,5,7,2,4,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,3,1,0,0,0,6,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,13,2,4,12,6,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,9,7,6,8,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,5,4,1,4,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,10,5,7,7,5,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,1,0,0,2,4,2,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,3,2,1,2,5,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,10,9,0,9,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,6,5,0,1,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,10,9,1,8,2,3,1,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,1,0,5,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,8,7,0,7,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,5,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,11,10,0,7,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,4,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,3,0,3,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,6,0,1,0,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,5,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,7,7,1,7,2,3,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,5,3,3,0,Low,0,Low,No Immediate Action,0
Sales,Manager,5,22,9,3,10,5,3,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,9,8,0,8,3,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,1,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,1,2,4,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,1,0,4,3,4,0,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,8,5,2,2,2,4,4,3,Medium,0,Low,No Immediate Action,0
Sales,Manager,5,24,10,1,11,2,3,2,3,Medium,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,4,33,9,15,0,3,3,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,2,4,3,2,Low,0,Low,No Immediate Action,1
Sales,Manager,5,11,4,0,8,2,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,0,2,3,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Manager,5,29,10,11,10,5,4,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,9,7,5,4,6,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,11,8,5,10,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,4,2,0,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,25,9,14,13,4,3,1,4,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,2,10,9,1,8,5,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,2,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,21,7,15,17,3,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,16,14,5,12,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,10,7,0,5,2,3,4,3,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,2,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,0,7,7,6,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,8,4,1,7,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,7,7,7,2,3,3,5,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,3,2,1,2,2,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,1,3,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,7,0,8,4,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Manager,5,0,0,0,0,4,4,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,19,9,15,2,4,3,2,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,2,2,2,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,4,1,1,3,3,3,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,5,2,0,3,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,2,9,2,6,7,6,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,7,7,1,7,0,3,3,4,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,7,6,5,7,3,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,9,8,7,5,6,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,4,3,2,1,2,2,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,5,4,1,0,2,3,2,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,8,7,7,7,2,3,2,5,Medium,0,Low,No Immediate Action,1
Research & Development,Manager,3,9,1,0,8,2,4,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,8,7,1,7,6,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,10,8,9,6,5,3,3,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,19,2,11,9,4,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,2,2,2,3,2,2,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,3,2,1,2,4,3,1,0,Low,0,Low,No Immediate Action,1
Research & Development,Manager,4,20,8,2,10,3,3,3,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manager,5,19,9,9,11,5,3,3,4,Medium,0,Low,No Immediate Action,0
Human Resources,Manager,5,7,3,7,7,4,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,0,0,0,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,9,7,1,6,0,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,9,8,8,8,4,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,9,3,1,7,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,9,6,1,1,3,3,3,2,Low,0,Low,No Immediate Action,0
Human Resources,Manager,4,33,9,0,10,2,3,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,7,7,1,7,3,3,1,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,8,9,6,6,3,1,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,1,2,6,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,10,9,5,9,0,3,1,6,High,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,4,2,0,3,3,4,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,15,7,6,13,2,3,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,10,9,0,8,2,3,4,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,4,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,4,5,2,0,3,1,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,5,3,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,9,7,0,0,0,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,2,0,0,3,4,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,4,19,7,3,8,2,3,3,4,Medium,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,4,19,16,15,9,0,3,2,6,High,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,0,0,2,4,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,12,11,11,8,0,4,3,6,High,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,8,7,7,7,1,3,3,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,3,3,4,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,4,2,3,2,0,3,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,4,2,0,3,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,14,11,4,11,2,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,3,0,4,0,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,10,2,6,7,3,3,3,2,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,5,4,1,4,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,4,2,3,2,5,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,6,2,3,3,4,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,4,1,3,2,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,1,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,1,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,6,4,0,5,2,4,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,1,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,4,5,3,0,2,3,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,20,7,1,8,3,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,6,2,4,4,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,8,2,7,7,2,3,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,4,3,1,1,2,3,4,2,Low,0,Low,No Immediate Action,0
Human Resources,Manager,4,20,7,0,9,5,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,0,4,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,0,2,6,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,2,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,0,2,2,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,7,7,0,7,2,3,1,3,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,3,10,9,0,9,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,4,3,1,3,2,4,1,2,Low,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,3,8,7,7,7,1,3,4,5,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,4,20,7,12,7,3,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Director,5,9,8,1,5,3,4,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,7,7,0,0,4,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,1,3,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,3,2,0,2,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,3,2,1,0,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,3,1,3,2,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,5,0,1,4,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,10,4,1,8,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,0,2,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,6,5,1,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,2,2,2,3,1,2,Low,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,6,5,1,3,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,2,1,0,3,4,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,20,17,5,6,2,3,3,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,0,3,3,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,0,3,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,0,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,4,2,0,3,5,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,8,7,0,7,2,3,3,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,13,7,9,9,5,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,3,7,7,4,3,1,3,4,4,Medium,0,Low,No Immediate Action,1
Research & Development,Laboratory Technician,1,1,0,0,0,2,4,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,10,8,4,7,2,3,2,4,Medium,0,Low,No Immediate Action,1
Research & Development,Healthcare Representative,3,7,7,0,7,2,3,1,3,Medium,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,3,2,0,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,2,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,3,1,1,2,4,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,3,3,1,1,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,2,2,2,2,0,3,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,3,9,8,4,8,5,3,2,3,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,1,3,4,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,2,0,3,5,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,9,8,8,8,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,3,2,1,2,0,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,3,1,1,2,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,2,1,3,3,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,3,0,3,2,3,1,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,13,9,3,12,2,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,1,2,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,12,9,5,8,3,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,1,0,0,0,4,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,12,9,2,8,2,4,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,8,7,0,7,3,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Director,4,14,8,6,9,3,3,1,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,1,2,3,3,3,0,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,5,3,0,0,4,3,2,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,2,15,9,10,10,2,4,2,5,Medium,0,Low,No Immediate Action,1
Sales,Sales Representative,1,1,0,0,0,3,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Sales Representative,1,1,0,0,0,2,3,2,1,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,2,2,2,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,7,0,4,3,3,3,2,Low,0,Low,No Immediate Action,0
Human Resources,Human Resources,1,5,3,1,3,3,4,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,3,2,1,2,2,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,0,2,5,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,5,4,1,2,4,3,3,1,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,0,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,1,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,4,2,1,3,5,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,3,2,1,2,3,4,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,2,0,2,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,8,6,1,7,2,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,0,0,0,0,6,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Manager,3,5,2,0,0,5,4,4,0,Low,0,Low,No Immediate Action,0
Research & Development,Manager,4,14,9,1,12,2,4,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,9,7,0,7,2,3,1,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,4,20,6,14,17,1,3,1,5,Medium,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,3,2,0,2,2,3,3,2,1,Low,0,Low,No Immediate Action,0
Sales,Manager,4,13,12,5,1,2,3,2,5,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,11,8,3,3,3,3,2,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,4,3,1,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,5,4,1,0,3,3,1,1,Low,0,Low,No Immediate Action,1
Sales,Sales Executive,3,10,9,8,6,3,3,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,7,2,7,7,2,3,3,3,Medium,0,Low,No Immediate Action,1
Research & Development,Research Director,4,32,6,13,9,2,3,4,5,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,11,10,5,7,4,4,3,4,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,10,8,3,7,2,3,4,4,Medium,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,7,7,0,7,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Manufacturing Director,2,5,3,0,2,2,3,2,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,5,4,0,3,3,4,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,20,8,13,9,3,3,4,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,4,7,1,5,3,1,3,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,2,15,14,5,7,3,3,3,4,Medium,0,Low,No Immediate Action,0
Human Resources,Manager,4,21,7,7,7,2,4,4,5,Medium,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,1,0,0,3,3,1,0,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,2,2,2,2,2,3,4,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,3,10,8,7,7,4,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Representative,1,5,3,4,2,5,4,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,7,1,2,5,2,3,2,2,Low,0,Low,No Immediate Action,0
Sales,Sales Representative,1,3,2,1,2,3,4,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,8,7,7,7,2,3,3,5,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,2,3,3,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,2,2,2,2,6,3,1,1,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,10,8,6,7,4,3,1,4,Medium,0,Low,No Immediate Action,1
Human Resources,Human Resources,2,6,3,1,2,2,3,3,2,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,3,0,1,2,3,3,1,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,3,4,2,1,3,3,3,2,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,1,0,0,0,2,3,1,1,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,3,33,7,1,9,4,3,4,2,Low,0,Low,No Immediate Action,1
Research & Development,Manufacturing Director,2,5,2,1,4,2,3,2,1,Low,0,Low,No Immediate Action,1
Research & Development,Research Scientist,2,6,5,1,2,3,3,1,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,8,2,7,6,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,4,3,4,0,Low,0,Low,No Immediate Action,0
Sales,Manager,5,36,6,2,13,3,4,4,3,Medium,0,Low,No Immediate Action,0
Research & Development,Research Scientist,2,2,2,2,1,3,3,4,1,Low,0,Low,No Immediate Action,0
Research & Development,Research Scientist,1,1,0,0,0,5,4,4,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,9,8,7,7,3,3,2,4,Medium,0,Low,No Immediate Action,0
Sales,Sales Executive,2,3,2,1,2,5,3,2,0,Low,0,Low,No Immediate Action,0
Sales,Sales Executive,2,1,0,0,0,5,3,3,0,Low,0,Low,No Immediate Action,0
Research & Development,Laboratory Technician,1,10,9,1,5,3,3,1,2,Low,0,Low,No Immediate Action,0
Research & Development,Healthcare Representative,2,5,2,0,4,4,3,3,0,Low,0,Low,No Immediate Action,0
